交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2019-11-29	000505	京粮控股	5.64	5.55	-1.60	170,848,723.91	22.66
2019-11-29	000506	中润资源	2.86	2.80	-2.10	39,308,942.60	61.67
2019-11-29	000507	珠海港	6.15	6.17	0.33	66,293,306.42	34.01
2019-11-29	000509	华塑控股	2.29	2.28	-0.44	20,470,312.00	0.00
2019-11-29	000510	新金路	3.86	3.84	-0.52	16,425,643.18	23.37
2019-11-29	000513	丽珠集团	32.15	31.21	-2.92	379,548,308.62	26.96
2019-11-29	000514	渝 开 发	3.85	3.86	0.26	4,930,260.84	129.53
2019-11-29	000516	国际医学	4.58	4.57	-0.22	24,397,808.15	4.12
2019-11-29	000517	荣安地产	2.53	2.53	0.00	8,482,625.96	13.24
2019-11-29	000518	四环生物	3.29	3.32	0.91	16,388,766.67	0.00
2019-11-29	000519	中兵红箭	7.25	7.26	0.14	63,860,195.15	29.12
2019-11-29	000520	长航凤凰	4.38	4.28	-2.28	49,915,553.39	70.74
2019-11-29	000521	长虹美菱	3.24	3.26	0.62	8,385,341.00	88.11
2019-11-29	000523	广州浪奇	5.44	5.36	-1.47	29,396,705.20	100.94
2019-11-29	000524	岭南控股	6.96	6.97	0.14	3,424,492.88	22.80
2019-11-29	000525	红 太 阳	8.15	8.17	0.25	33,958,672.18	7.45
2019-11-29	000526	紫光学大	31.28	30.90	-1.21	48,058,821.00	229.57
2019-11-29	000528	柳    工	6.31	6.35	0.63	58,611,202.99	11.75
2019-11-29	000529	广弘控股	6.33	6.26	-1.11	30,800,555.44	21.87
2019-11-29	000530	大冷股份	3.70	3.67	-0.81	8,811,485.40	27.99
2019-11-29	000531	穗恒运Ａ	6.47	6.46	-0.15	6,358,005.44	54.01
2019-11-29	000532	华金资本	11.45	11.49	0.35	115,608,366.99	72.45
2019-11-29	000533	顺钠股份	2.67	2.71	1.50	18,582,754.94	0.00
2019-11-29	000534	万泽股份	8.99	8.92	-0.78	9,934,894.10	71.65
2019-11-29	000536	华映科技	2.61	2.66	1.92	143,643,227.86	0.00
2019-11-29	000537	广宇发展	6.85	6.82	-0.44	47,245,704.71	5.08
2019-11-29	000538	云南白药	90.20	87.90	-2.55	657,349,636.12	33.96
2019-11-29	000539	粤电力Ａ	4.09	4.13	0.98	13,565,115.99	45.69
2019-11-29	000540	中天金融	3.08	3.07	-0.32	40,237,290.05	14.66
2019-11-29	000541	佛山照明	4.87	4.90	0.62	10,312,086.23	18.15
2019-11-29	000543	皖能电力	4.67	4.68	0.21	41,357,365.90	25.93
2019-11-29	000544	中原环保	5.96	5.94	-0.34	9,904,010.50	13.97
2019-11-29	000545	金浦钛业	2.98	2.93	-1.68	23,043,624.00	28.34
2019-11-29	000546	金圆股份	10.43	10.49	0.58	17,049,944.33	20.01
2019-11-29	000547	航天发展	9.50	9.45	-0.53	91,484,868.05	33.85
2019-11-29	000548	湖南投资	3.98	3.97	-0.25	4,933,250.44	49.26
2019-11-29	000550	江铃汽车	14.39	14.23	-1.11	37,921,023.24	129.36
2019-11-29	000551	创元科技	6.11	6.11	0.00	8,038,361.75	28.39
2019-11-29	000552	靖远煤电	2.51	2.52	0.40	11,335,781.92	10.06
2019-11-29	000553	安道麦A	9.74	9.84	1.03	17,564,588.75	10.02
2019-11-29	000554	泰山石油	4.67	4.70	0.64	9,543,135.89	1,205.13
2019-11-29	000555	神州信息	12.05	12.12	0.58	106,028,245.89	277.35
2019-11-29	000557	西部创业	3.35	3.33	-0.60	9,394,511.00	32.97
2019-11-29	000558	莱茵体育	3.35	3.27	-2.39	28,331,783.50	0.00
2019-11-29	000559	万向钱潮	5.04	5.08	0.79	13,600,114.85	19.35
2019-11-29	000560	我爱我家	4.49	4.38	-2.45	43,733,026.40	16.35
2019-11-29	000561	烽火电子	6.60	6.59	-0.15	13,626,839.23	46.08
2019-11-29	000563	陕国投Ａ	3.94	3.98	1.02	84,929,288.07	49.38
2019-11-29	000564	供销大集	2.21	2.24	1.36	28,566,871.73	17.65
2019-11-29	000565	渝三峡Ａ	4.86	4.87	0.21	9,253,413.62	46.69
2019-11-29	000566	海南海药	5.75	5.72	-0.52	19,483,802.80	63.91
2019-11-29	000567	海德股份	8.00	8.02	0.25	17,664,349.85	42.64
2019-11-29	000568	泸州老窖	84.50	81.75	-3.25	1,196,783,443.42	34.35
2019-11-29	000570	苏常柴Ａ	4.35	4.34	-0.23	3,311,606.68	39.28
2019-11-29	000571	*ST大洲	2.29	2.29	0.00	2,884,022.80	0.00
2019-11-29	000572	*ST 海马	1.77	1.78	0.56	9,399,559.50	0.00
2019-11-29	000573	粤宏远Ａ	2.90	2.90	0.00	10,162,280.83	36.16
2019-11-29	000576	广东甘化	6.94	7.20	3.75	45,717,350.04	32.52
2019-11-29	000581	威孚高科	18.48	18.60	0.65	110,759,249.60	7.83
2019-11-29	000582	北部湾港	8.44	8.81	4.38	85,636,453.74	22.30
2019-11-29	000584	哈工智能	5.82	5.90	1.37	11,428,552.74	30.07
2019-11-29	000585	ST东电	1.80	1.83	1.67	3,208,091.15	109.58
2019-11-29	000586	汇源通信	9.82	9.85	0.31	36,443,555.00	0.00
2019-11-29	000587	金洲慈航	1.80	1.77	-1.67	35,393,372.00	0.00
2019-11-29	000589	贵州轮胎	4.27	4.31	0.94	20,978,997.65	37.91
2019-11-29	000590	启迪古汉	11.22	11.23	0.09	30,604,901.00	0.00
2019-11-29	000591	太阳能	3.38	3.42	1.18	33,059,019.60	11.93
2019-11-29	000592	平潭发展	2.73	2.73	0.00	22,187,841.46	200.74
2019-11-29	000593	大通燃气	6.13	6.17	0.65	16,423,337.05	0.00
2019-11-29	000595	宝塔实业	3.27	3.40	3.98	140,376,564.70	0.00
2019-11-29	000596	古井贡酒	112.40	108.16	-3.77	275,417,697.86	32.13
2019-11-29	000597	东北制药	6.90	6.91	0.14	11,869,635.41	32.02
2019-11-29	000598	兴蓉环境	4.50	4.51	0.22	19,808,852.19	13.63
2019-11-29	000599	青岛双星	4.48	4.48	0.00	9,685,834.66	136.17
2019-11-29	000600	建投能源	4.79	4.83	0.84	28,227,104.15	20.04
2019-11-29	000601	韶能股份	6.09	6.09	0.00	56,976,240.55	21.73
2019-11-29	000603	盛达资源	12.04	11.95	-0.75	58,367,345.79	20.02
2019-11-29	000605	渤海股份	6.58	6.60	0.30	3,606,460.00	38.87
2019-11-29	000606	顺利办	5.48	5.56	1.46	51,213,197.00	45.65
2019-11-29	000607	华媒控股	4.56	4.50	-1.32	18,435,761.00	43.52
2019-11-29	000608	阳光股份	5.16	5.28	2.33	16,685,319.24	345.10
2019-11-29	000609	中迪投资	5.98	5.38	-10.03	274,003,626.00	0.00
2019-11-29	000610	西安旅游	8.56	8.45	-1.29	62,386,891.00	20.78
2019-11-29	000611	*ST天首	3.83	3.77	-1.57	3,349,391.00	0.00
2019-11-29	000612	焦作万方	4.06	4.03	-0.74	10,847,955.00	0.00
2019-11-29	000613	大东海A	5.34	5.38	0.75	56,579,179.00	2,988.89
2019-11-29	000615	京汉股份	4.69	4.65	-0.85	5,697,461.00	23.16
2019-11-29	000616	海航投资	2.33	2.33	0.00	5,655,010.02	9.55
2019-11-29	000617	中油资本	11.41	11.51	0.88	11,064,731.34	14.36
